idna_subject,checker_type,destination,tested_at
57-148-133-95.pool.ukrtel.net,AVAILABILITY,origin.list,2023-01-29 06:03:08.833666
57-250-113-92.pool.ukrtel.net,AVAILABILITY,origin.list,2023-01-29 06:03:09.085596
60-234-124-91.pool.ukrtel.net,AVAILABILITY,origin.list,2023-01-29 06:03:09.165389
203-65-113-92.pool.ukrtel.net,AVAILABILITY,origin.list,2023-01-29 06:03:09.295180
11fens.mycitytoolbar.com,AVAILABILITY,origin.list,2023-01-29 06:03:09.400361
57-226-124-91.pool.ukrtel.net,AVAILABILITY,origin.list,2023-01-29 06:03:09.590201
3aikido.media-toolbar.com,AVAILABILITY,origin.list,2023-01-29 06:03:09.703098
11bgencligi.mylibrarytoolbar.com,AVAILABILITY,origin.list,2023-01-29 06:03:09.743917
153-129-133-95.pool.ukrtel.net,AVAILABILITY,origin.list,2023-01-29 06:03:09.780772
12-24-179-94.pool.ukrtel.net,AVAILABILITY,origin.list,2023-01-29 06:03:09.888690
162-120-133-95.pool.ukrtel.net,AVAILABILITY,origin.list,2023-01-29 06:03:10.082699
111-65-178-94.pool.ukrtel.net,AVAILABILITY,origin.list,2023-01-29 06:03:10.199482
4com.media-toolbar.com,AVAILABILITY,origin.list,2023-01-29 06:03:10.241168
141-163-133-95.pool.ukrtel.net,AVAILABILITY,origin.list,2023-01-29 06:03:10.279616
16-224-133-95.pool.ukrtel.net,AVAILABILITY,origin.list,2023-01-29 06:03:10.380323
142-162-132-95.pool.ukrtel.net,AVAILABILITY,origin.list,2023-01-29 06:03:10.574844
123-31-112-92.pool.ukrtel.net,AVAILABILITY,origin.list,2023-01-29 06:03:10.696069
10-211-133-95.pool.ukrtel.net,AVAILABILITY,origin.list,2023-01-29 06:03:10.738920
43-158-132-95.pool.ukrtel.net,AVAILABILITY,origin.list,2023-01-29 06:03:10.775811
184-84-178-94.pool.ukrtel.net,AVAILABILITY,origin.list,2023-01-29 06:03:10.874523
103-138-112-92.pool.ukrtel.net,AVAILABILITY,origin.list,2023-01-29 06:03:11.057481
33-155-221-66.cust.propagation.net,AVAILABILITY,origin.list,2023-01-29 06:03:11.187260
137-30-133-95.pool.ukrtel.net,AVAILABILITY,origin.list,2023-01-29 06:03:11.235236
200-83-178-94.pool.ukrtel.net,AVAILABILITY,origin.list,2023-01-29 06:03:11.279031
555.myblogtoolbar.com,AVAILABILITY,origin.list,2023-01-29 06:03:11.407716
40bayir.myblogtoolbar.com,AVAILABILITY,origin.list,2023-01-29 06:03:11.597892
200-54-129-117.static.tie.cl,AVAILABILITY,origin.list,2023-01-29 06:03:11.692838
200-50-103-146.static.tie.cl,AVAILABILITY,origin.list,2023-01-29 06:03:11.721619
200-50-101-13.static.tie.cl,AVAILABILITY,origin.list,2023-01-29 06:03:11.770832
201-213-181-106.net.prima.net.ar,AVAILABILITY,origin.list,2023-01-29 06:03:11.892766
200-50-100-191.static.tie.cl,AVAILABILITY,origin.list,2023-01-29 06:03:12.086487
200-42-181-157.static.tie.cl,AVAILABILITY,origin.list,2023-01-29 06:03:12.242822
201-213-230-52.net.prima.net.ar,AVAILABILITY,origin.list,2023-01-29 06:03:12.281708
201-213-203-106.net.prima.net.ar,AVAILABILITY,origin.list,2023-01-29 06:03:12.279716
201-213-201-18.net.prima.net.ar,AVAILABILITY,origin.list,2023-01-29 06:03:12.376727
201-213-132-159.net.prima.net.ar,AVAILABILITY,origin.list,2023-01-29 06:03:12.577837
201-213-191-131.net.prima.net.ar,AVAILABILITY,origin.list,2023-01-29 06:03:12.725853
201-213-212-94.net.prima.net.ar,AVAILABILITY,origin.list,2023-01-29 06:03:12.778185
201-213-159-100.net.prima.net.ar,AVAILABILITY,origin.list,2023-01-29 06:03:12.779173
201-213-214-65.net.prima.net.ar,AVAILABILITY,origin.list,2023-01-29 06:03:12.847150
201-213-181-78.net.prima.net.ar,AVAILABILITY,origin.list,2023-01-29 06:03:13.086880
201-213-240-212.net.prima.net.ar,AVAILABILITY,origin.list,2023-01-29 06:03:13.230250
201-213-140-54.net.prima.net.ar,AVAILABILITY,origin.list,2023-01-29 06:03:13.288954
201-213-177-203.net.prima.net.ar,AVAILABILITY,origin.list,2023-01-29 06:03:13.290529
201-213-215-168.net.prima.net.ar,AVAILABILITY,origin.list,2023-01-29 06:03:13.341031
201-213-23-59.net.prima.net.ar,AVAILABILITY,origin.list,2023-01-29 06:03:13.570415
203-174-83-55.rev.ne.com.sg,AVAILABILITY,origin.list,2023-01-29 06:03:13.715445
201-213-214-99.net.prima.net.ar,AVAILABILITY,origin.list,2023-01-29 06:03:13.794932
201-213-214-101.net.prima.net.ar,AVAILABILITY,origin.list,2023-01-29 06:03:13.830717
3.coolerpillow.com,AVAILABILITY,origin.list,2023-01-29 06:03:13.836696
200-90-171-134.static.tie.cl,AVAILABILITY,origin.list,2023-01-29 06:03:14.055193
201-213-109-47.net.prima.net.ar,AVAILABILITY,origin.list,2023-01-29 06:03:14.208002
203-174-83-75.rev.ne.com.sg,AVAILABILITY,origin.list,2023-01-29 06:03:14.279731
201-213-156-206.net.prima.net.ar,AVAILABILITY,origin.list,2023-01-29 06:03:14.321136
201-213-148-243.net.prima.net.ar,AVAILABILITY,origin.list,2023-01-29 06:03:14.341271
201-213-215-149.net.prima.net.ar,AVAILABILITY,origin.list,2023-01-29 06:03:14.537199
201-213-241-39.net.prima.net.ar,AVAILABILITY,origin.list,2023-01-29 06:03:14.685052
201-213-25-166.net.prima.net.ar,AVAILABILITY,origin.list,2023-01-29 06:03:14.782479
201-213-215-243.net.prima.net.ar,AVAILABILITY,origin.list,2023-01-29 06:03:14.873199
201-213-25-164.net.prima.net.ar,AVAILABILITY,origin.list,2023-01-29 06:03:14.891562
201-213-248-233.net.prima.net.ar,AVAILABILITY,origin.list,2023-01-29 06:03:15.037224
201-213-251-10.net.prima.net.ar,AVAILABILITY,origin.list,2023-01-29 06:03:15.184920
201-213-107-43.net.prima.net.ar,AVAILABILITY,origin.list,2023-01-29 06:03:15.283601
201-213-214-16.net.prima.net.ar,AVAILABILITY,origin.list,2023-01-29 06:03:15.409766
201-213-215-166.net.prima.net.ar,AVAILABILITY,origin.list,2023-01-29 06:03:15.423811
201-213-230-83.net.prima.net.ar,AVAILABILITY,origin.list,2023-01-29 06:03:15.528860
201-213-157-100.net.prima.net.ar,AVAILABILITY,origin.list,2023-01-29 06:03:15.685697
201-213-255-39.net.prima.net.ar,AVAILABILITY,origin.list,2023-01-29 06:03:15.773509
201-213-240-46.net.prima.net.ar,AVAILABILITY,origin.list,2023-01-29 06:03:15.919012
207-150-133-95.pool.ukrtel.net,AVAILABILITY,origin.list,2023-01-29 06:03:15.934582
201-213-248-230.net.prima.net.ar,AVAILABILITY,origin.list,2023-01-29 06:03:16.003421
201-213-48-44.net.prima.net.ar,AVAILABILITY,origin.list,2023-01-29 06:03:16.171438
203-199.126-70.tampabay.res.rr.com,AVAILABILITY,origin.list,2023-01-29 06:03:16.280084
202-98-132-95.pool.ukrtel.net,AVAILABILITY,origin.list,2023-01-29 06:03:16.401756
201-213-72-205.net.prima.net.ar,AVAILABILITY,origin.list,2023-01-29 06:03:16.418892
207-255-35-042-dhcp.aoo.pa.atlanticbb.net,AVAILABILITY,origin.list,2023-01-29 06:03:16.474201
201-213-215-182.net.prima.net.ar,AVAILABILITY,origin.list,2023-01-29 06:03:16.666840
201-213-96-23.net.prima.net.ar,AVAILABILITY,origin.list,2023-01-29 06:03:16.766313
200-54-139-74.static.tie.cl,AVAILABILITY,origin.list,2023-01-29 06:03:16.907162
207-255-85-253-dhcp.aoo.pa.atlanticbb.net,AVAILABILITY,origin.list,2023-01-29 06:03:16.910733
201-213-125-245.net.prima.net.ar,AVAILABILITY,origin.list,2023-01-29 06:03:16.955969
204-226.97-97.tampabay.res.rr.com,AVAILABILITY,origin.list,2023-01-29 06:03:17.162970
207-255-141-194-dhcp.bfd.pa.atlanticbb.net,AVAILABILITY,origin.list,2023-01-29 06:03:17.238606
205-92-113-92.pool.ukrtel.net,AVAILABILITY,origin.list,2023-01-29 06:03:17.388067
226-89-133-95.pool.ukrtel.net,AVAILABILITY,origin.list,2023-01-29 06:03:17.427883
201-213-55-91.net.prima.net.ar,AVAILABILITY,origin.list,2023-01-29 06:03:17.446423
200-90-170-34.static.tie.cl,AVAILABILITY,origin.list,2023-01-29 06:03:17.659121
201-213-97-214.net.prima.net.ar,AVAILABILITY,origin.list,2023-01-29 06:03:17.727446
205-97.127-70.tampabay.res.rr.com,AVAILABILITY,origin.list,2023-01-29 06:03:17.874298
21-236-124-91.pool.ukrtel.net,AVAILABILITY,origin.list,2023-01-29 06:03:17.922925
201-213-252-42.net.prima.net.ar,AVAILABILITY,origin.list,2023-01-29 06:03:17.956678
207-255-6-071-static.jst.pa.atlanticbb.net,AVAILABILITY,origin.list,2023-01-29 06:03:18.135648
201-213-108-157.net.prima.net.ar,AVAILABILITY,origin.list,2023-01-29 06:03:18.213773
201-213-43-108.net.prima.net.ar,AVAILABILITY,origin.list,2023-01-29 06:03:18.353454
225-175.dr.cgocable.ca,AVAILABILITY,origin.list,2023-01-29 06:03:18.447235
211.14-218-195.catv.internet.lu,AVAILABILITY,origin.list,2023-01-29 06:03:18.457781
213-74-133-95.pool.ukrtel.net,AVAILABILITY,origin.list,2023-01-29 06:03:18.626899
