idna_subject,checker_type,destination,source,tested_at,session_id
000aproxy.on-4.com,AVAILABILITY,origin.list,origin.list,2022-10-25 06:07:20.166296,3272b7752c010dbe1649a562
0-0-0-0-0-0proxy.tserv.se,AVAILABILITY,origin.list,origin.list,2022-10-25 06:07:20.161192,3272b7752c010dbe1649a562
0-0-0.6te.net,AVAILABILITY,origin.list,origin.list,2022-10-25 06:07:20.158529,3272b7752c010dbe1649a562
0002yr2.wcomhost.com,AVAILABILITY,origin.list,origin.list,2022-10-25 06:07:20.254966,3272b7752c010dbe1649a562
0001proxy.notlong.com,AVAILABILITY,origin.list,origin.list,2022-10-25 06:07:20.326531,3272b7752c010dbe1649a562
005.free-counter.co.uk,AVAILABILITY,origin.list,origin.list,2022-10-25 06:07:20.810473,3272b7752c010dbe1649a562
001proxy.com,AVAILABILITY,origin.list,origin.list,2022-10-25 06:07:20.837402,3272b7752c010dbe1649a562
000.ueuo.com,AVAILABILITY,origin.list,origin.list,2022-10-25 06:07:21.058215,3272b7752c010dbe1649a562
000webhost.info,AVAILABILITY,origin.list,origin.list,2022-10-25 06:07:21.092385,3272b7752c010dbe1649a562
007.free-counter.co.uk,AVAILABILITY,origin.list,origin.list,2022-10-25 06:07:21.288175,3272b7752c010dbe1649a562
006.free-counter.co.uk,AVAILABILITY,origin.list,origin.list,2022-10-25 06:07:21.300677,3272b7752c010dbe1649a562
007guard.com,AVAILABILITY,origin.list,origin.list,2022-10-25 06:07:21.671229,3272b7752c010dbe1649a562
008.free-counters.co.uk,AVAILABILITY,origin.list,origin.list,2022-10-25 06:07:21.769045,3272b7752c010dbe1649a562
008.free-counter.co.uk,AVAILABILITY,origin.list,origin.list,2022-10-25 06:07:21.776710,3272b7752c010dbe1649a562
00hidemyprivacy.ws,AVAILABILITY,origin.list,origin.list,2022-10-25 06:07:22.388597,3272b7752c010dbe1649a562
00hq.com,AVAILABILITY,origin.list,origin.list,2022-10-25 06:07:22.918270,3272b7752c010dbe1649a562
00o.info,AVAILABILITY,origin.list,origin.list,2022-10-25 06:07:23.382331,3272b7752c010dbe1649a562
007sites.com,AVAILABILITY,origin.list,origin.list,2022-10-25 06:07:23.517054,3272b7752c010dbe1649a562
010402.com,AVAILABILITY,origin.list,origin.list,2022-10-25 06:07:23.804663,3272b7752c010dbe1649a562
0141design.co.uk,AVAILABILITY,origin.list,origin.list,2022-10-25 06:07:24.508908,3272b7752c010dbe1649a562
0190-dialer.com,AVAILABILITY,origin.list,origin.list,2022-10-25 06:07:24.941774,3272b7752c010dbe1649a562
01domain.com,AVAILABILITY,origin.list,origin.list,2022-10-25 06:07:25.554099,3272b7752c010dbe1649a562
01-edito-atf-laplacemedia-7.fr,AVAILABILITY,origin.list,origin.list,2022-10-25 06:07:25.966807,3272b7752c010dbe1649a562
01kao.com,AVAILABILITY,origin.list,origin.list,2022-10-25 06:07:26.993357,3272b7752c010dbe1649a562
01.sharedsource.org,AVAILABILITY,origin.list,origin.list,2022-10-25 06:07:27.502747,3272b7752c010dbe1649a562
02-195.031.popsite.net,AVAILABILITY,origin.list,origin.list,2022-10-25 06:07:27.942208,3272b7752c010dbe1649a562
001y.com,AVAILABILITY,origin.list,origin.list,2022-10-25 06:07:30.864709,3272b7752c010dbe1649a562
0244.org,AVAILABILITY,origin.list,origin.list,2022-10-25 06:07:31.377287,3272b7752c010dbe1649a562
0-29.com,AVAILABILITY,origin.list,origin.list,2022-10-25 06:07:31.847950,3272b7752c010dbe1649a562
00fun.casalemedia.com,AVAILABILITY,origin.list,origin.list,2022-10-25 06:07:32.127009,3272b7752c010dbe1649a562
00fun.com,AVAILABILITY,origin.list,origin.list,2022-10-25 06:07:32.255563,3272b7752c010dbe1649a562
02b7485.netsolhost.com,AVAILABILITY,origin.list,origin.list,2022-10-25 06:07:32.438042,3272b7752c010dbe1649a562
03-080.031.popsite.net,AVAILABILITY,origin.list,origin.list,2022-10-25 06:07:32.639613,3272b7752c010dbe1649a562
